"","Company","Treat","Score"
"1","C1","Pygmalion",80
"2","C1","Control",63.2
"3","C1","Control",69.2
"4","C2","Pygmalion",83.9
"5","C2","Control",63.1
"6","C2","Control",81.5
"7","C3","Pygmalion",68.2
"8","C3","Control",76.2
"9","C4","Pygmalion",76.5
"10","C4","Control",59.5
"11","C4","Control",73.5
"12","C5","Pygmalion",87.8
"13","C5","Control",73.9
"14","C5","Control",78.5
"15","C6","Pygmalion",89.8
"16","C6","Control",78.9
"17","C6","Control",84.7
"18","C7","Pygmalion",76.1
"19","C7","Control",60.6
"20","C7","Control",69.6
"21","C8","Pygmalion",71.5
"22","C8","Control",67.8
"23","C8","Control",73.2
"24","C9","Pygmalion",69.5
"25","C9","Control",72.3
"26","C9","Control",73.9
"27","C10","Pygmalion",83.7
"28","C10","Control",63.7
"29","C10","Control",77.7
